original_column,question_text
ResponseId,Response ID
Finished,Finished
Q1,What is your age range
Q2,Gender
Q3,Are you currently an undergraduate or a graduate student?
Q4,How price-sensitive are you when making purchases?
Q5,How often do you make purchases online?
Q6,How would you rate your level of impulsive purchasing?
Q7,I often make impulse purchases
Q8,Limited stock makes me more likely to buy something
QID45,How likely are you to purchase this item?
QID46,How urgent does this purchase feel to you?
QID20,"If you did not purchase this item now, how much regret would you feel?"
QID21,What did the availability messaging say?
QID50,How likely are you to purchase this item?
QID51,How urgent does this purchase feel to you?
QID52,"If you did not purchase this item now, how much regret would you feel?"
QID53,What did the availability messaging say?
QID55,How likely are you to purchase this item?
QID56,How urgent does this purchase feel to you?
QID57,"If you did not purchase this item now, how much regret would you feel?"
QID58,What did the availability messaging say?
QID70,How likely are you to purchase this item?
QID71,How urgent does this purchase feel to you?
QID72,"If you did not purchase this item now, how much regret would you feel?"
QID73,What did the availability messaging say?
QID76,How likely are you to purchase this item?
QID77,How urgent does this purchase feel to you?
QID78,"If you did not purchase this item now, how much regret would you feel?"
QID79,What did the availability messaging say?
QID82,How likely are you to purchase this item?
QID83,How urgent does this purchase feel to you?
QID84,"If you did not purchase this item now, how much regret would you feel?"
QID85,What did the availability messaging say?
Unnamed: 34,
